16|851.14|
rq53983611|100102620113|201807|53.50|53.50|20180727|2|2|
rq53998283|100101860021|201807|14.98|20.00|20180727|5|2|
rq54003301|100102410038|201807|74.90|100.00|20180727|5|2|
rq54019586|100105930044|201807|14.48|16.00|20180727|5|2|
rq54191360|100103091046|201807|28.70|100.00|20180727|5|2|
rq54202254|100101210106|201807|16.24|20.00|20180727|5|2|
rq54018674|100100220010|201807|13.56|15.00|20180727|5|2|
rq54026751|100100850025|201807|1.34|100.00|20180727|5|2|
rq54073780|100108250119|201807|33.36|100.00|20180727|5|2|
rq54231807|100100140064|201807|7.74|10.00|20180727|5|2|
rq54084693|100102000019|201807|30.54|30.54|20180727|3|2|
rq54031677|100102680042|201807|38.10|39.00|20180727|5|2|
rq54043475|100102370029|201807|2.50|100.00|20180727|3|2|
rq54057884|100100460008|201807|80.62|80.62|20180727|3|2|
rq54058323|100109250214|201807|16.48|16.48|20180727|3|2|
rq54230835|100100500097|201807|14.92|50.00|20180727|3|2|
