19|953.00|
0410239953|100107410100|201805|14.12|15.00|20180511|1|1|
0410048238|100108350137|201805|12.92|50.00|20180511|1|1|
0410065392|100107590164|201805|78.94|100.00|20180511|1|1|
0410039163|100102170118|201805|3.14|50.00|20180511|1|1|
0410320397|100107080048|201805|53.04|60.00|20180511|1|1|
0410025763|100108830011|201805|83.14|84.00|20180511|1|1|
0410013465|110100640019|201805|16.19|20.00|20180511|1|1|
0410237231|100105920158|201805|78.76|80.00|20180511|1|1|
0410220310|100108390053|201805|21.98|50.00|20180511|1|1|
0410227194|100105350427|201805|12.07|13.00|20180511|1|1|
0410224091|100108350184|201805|69.22|70.00|20180511|1|1|
0410156317|100109760058|201805|66.04|67.00|20180511|1|1|
0410133884|100101190131|201805|29.76|30.00|20180511|1|1|
0410132519|100108350204|201805|46.96|50.00|20180511|1|1|
0410133806|100103710063|201805|18.00|20.00|20180511|1|1|
0410123944|100108350158|201805|32.56|35.00|20180511|1|1|
0410103458|100105920169|201805|44.88|50.00|20180511|1|1|
0410079156|100107590315|201805|36.40|50.00|20180511|1|1|
0410082419|100104050004|201805|58.90|59.00|20180511|1|1|
