28|8336.02|
rq68625142|100102570070|201903|7.41|50.00|20190315|5|2|
rq68647281|100102740085|201903|19.76|19.76|20190315|3|2|
rq68635386|100103130054|201903|89.65|90.00|20190315|5|2|
rq68662423|100102050056|201903|37.03|40.00|20190315|4|2|
rq68698899|100100770017|201903|38.19|40.00|20190315|5|2|
rq68758004|100101300051|201903|76.03|76.03|20190315|3|2|
rq68831288|100102320004|201903|83.57|100.00|20190315|5|2|
rq68811031|100100140668|201903|34.58|34.58|20190315|5|2|
rq68822728|100101260148|201903|22.08|23.00|20190315|5|2|
rq68603115|100100850223|201903|36.68|37.00|20190315|5|2|
rq68610420|100107740043|201903|2.47|2.47|20190315|5|2|
rq68656514|130102180044|201903|0.19|50.00|20190315|5|2|
rq68831315|100101150105|201903|49.90|50.00|20190315|5|2|
rq68833298|100102620021|201903|1650.59|1700.00|20190315|5|2|
rq68827054|100110110276|201903|819.20|900.00|20190315|5|2|
rq68645337|100100850032|201903|26.77|27.00|20190315|5|2|
rq68789219|100102610084|201903|395.11|396.00|20190315|5|2|
rq68782269|110102410007|201903|39.84|39.84|20190315|5|2|
rq68801107|100109290025|201903|56.81|56.81|20190315|5|2|
rq68598965|130101460035|201903|589.13|600.00|20190315|5|2|
rq68692224|100105350104|201903|34.58|50.00|20190315|5|2|
rq68698960|100104840154|201903|70.45|72.00|20190315|5|2|
rq68723614|130102130146|201903|808.08|1000.00|20190315|5|2|
rq68717065|100104620089|201903|537.30|540.00|20190315|5|2|
rq68768962|100101680015|201903|37.05|37.05|20190315|5|2|
rq68740488|100103310001|201903|645.85|645.85|20190315|5|2|
rq68744139|130100660082|201903|1628.63|1628.63|20190315|5|2|
rq68756910|100100570244|201903|26.96|30.00|20190315|5|2|
